"Country","Sex","Year","Age-standardised diabetes prevalence","Age-standardised_Lower 95% uncertainty interval","Age-standardised_Upper 95% uncertainty interval","Crude diabetes prevalence","Crude_Lower 95% uncertainty interval","Crude_Upper 95% uncertainty interval","Number of adults with diabetes","Number_Lower 95% uncertainty interval","Number_Upper 95% uncertainty interval"
"United States of America","Women",1989,0.0480004715212659,0.031676415285171,0.0694740754438293,0.0563092051461855,0.0386638652184047,0.0792578808165852,5477260.95996593,3434556.84943192,8044975.56514706
"United States of America","Women",1990,0.0487383396712382,0.0328593195587063,0.0693396509346157,0.0572562354522888,0.0400238991912822,0.079188720092224,5624081.24918257,3581860.21630518,8165215.43891784
"United States of America","Women",1991,0.0495126407165188,0.0336602101486663,0.0699168221612524,0.0582358781183124,0.0412355676885478,0.0795674025287017,5773414.21350421,3731776.30221229,8310516.53953595
"United States of America","Women",1992,0.0503131031364753,0.0346033822884492,0.070087459021058,0.0592420901349687,0.0424896232218025,0.0804764913223732,5925402.88379411,3877715.67390735,8464025.64227403
"United States of America","Women",1993,0.0511331531366038,0.0356344476427142,0.0706376109481114,0.0602733591551985,0.0436835120742915,0.081010179798875,6082263.76305296,4016931.07236021,8620537.45119808
"United States of America","Women",1994,0.0519860137341076,0.0365761528418937,0.071079867705724,0.0613519269835853,0.0449339517681662,0.0818199469870109,6249526.82428352,4167141.84633512,8792598.59905407
"United States of America","Women",1995,0.052860272486054,0.0377000496257354,0.071838531863973,0.0624726951128267,0.0461869846696906,0.082959006626351,6429207.7292021,4320758.02177444,8984836.07907586
"United States of America","Women",1996,0.053746730325397,0.0387007960668841,0.0727711620107935,0.0636298635931512,0.0472515168717107,0.0837813178359235,6622378.99587282,4495424.51656761,9198476.88487008
"United States of America","Women",1997,0.0546180609068536,0.0397294643556889,0.0731434153373023,0.0647948084336665,0.0484784597642419,0.084833894795489,6825670.3169239,4678725.12729441,9415132.18470069
"United States of America","Women",1998,0.0554856408325736,0.0407110917217995,0.0735518242786304,0.0659792980673724,0.0497694251404862,0.0855042199583192,7038204.39759283,4874678.40871035,9647468.47635493
"United States of America","Women",1999,0.0563431884581334,0.0417103440752368,0.0741589617723704,0.0671744663353412,0.05087829670599,0.086498581950682,7255540.96523184,5074152.53071986,9912590.6206255
"United States of America","Women",2000,0.0571589490842337,0.0426013091408262,0.0750984491820215,0.0683464056390331,0.0523807827606897,0.0879080468944554,7471258.65427909,5265261.7254256,10171262.4491272
"United States of America","Women",2001,0.0579157412415756,0.0438723064651398,0.0757871665399074,0.0694729678424097,0.053534211269211,0.089244993770174,7681676.32497476,5447078.06341738,10404094.3144154
"United States of America","Women",2002,0.0585767102964922,0.0445522263027215,0.0762406496484602,0.0705167085985713,0.0546619017367305,0.090425545693907,7883149.95647274,5627934.18929189,10634595.0539191
"United States of America","Women",2003,0.0591680260330302,0.0453277183361067,0.0767177008532294,0.0715182102718555,0.0554148682241807,0.0913965705660349,8081191.74482315,5799662.28035044,10882703.9103893
"United States of America","Women",2004,0.0596911958836804,0.0457429004000567,0.0766715906395923,0.0724953727206974,0.0564516222633586,0.092038191202989,8279818.90511909,5952713.34035102,11100471.0495772
"United States of America","Women",2005,0.0601575471092418,0.046257925230853,0.0770576621969845,0.0734696688898324,0.0572247197938176,0.0929170143160825,8482955.18854257,6116425.71575844,11353475.1534533
"United States of America","Women",2006,0.0605900282340949,0.0465187862583596,0.0775271650576159,0.0744683060918734,0.0579900639580625,0.0943174876108308,8694233.38746409,6259856.9525844,11660151.2009374
"United States of America","Women",2007,0.060997457731079,0.0465390077229379,0.0785630968452775,0.0754920236421689,0.0582744115080993,0.096523560995528,8913018.49494199,6366879.89891612,11984891.5564213
"United States of America","Women",2008,0.0613853632502415,0.0459570927896752,0.0803734537343737,0.0765289729110657,0.0580877661373342,0.0986131009858883,9136735.66894001,6434760.68141231,12413532.8271623
"United States of America","Women",2009,0.0617805088700695,0.045151068436994,0.0823960424408588,0.0775874342158868,0.0578880575348069,0.10184061720055,9364534.25215317,6476250.616304,12887641.7141742
"United States of America","Women",2010,0.0622262142964184,0.0440911893680489,0.0842836828348281,0.0787015593922347,0.0567943887114582,0.104789678667042,9599190.83993082,6472572.72903588,13420781.1872581
"United States of America","Women",2011,0.062761677001943,0.0426177035215568,0.0874232317353054,0.079910505152285,0.055955422980126,0.109496427257734,9845155.34393039,6436624.55252364,14076598.9809248
"United States of America","Women",2012,0.0632483762249497,0.0410931166235036,0.0909681233939612,0.0810515332293659,0.054462616488439,0.114185733723895,10082787.2774194,6359568.9812251,14803271.7446343
"United States of America","Women",2013,0.0637756820483046,0.039592957194736,0.0946681780185367,0.0822295700270631,0.0529769268664392,0.119124398789488,10325389.7226699,6255718.85893928,15578939.3240909
"United States of America","Women",2014,0.0643633758392126,0.0380885626744021,0.0994506145458595,0.0834694897986151,0.051247916783122,0.124837852271879,10577002.4540345,6101280.27180992,16434913.486642
