"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"United States of America","Men",2014,123.462019455559,120.358466656102,126.676896748349,73.671915029208,71.6205394140749,75.7707674937915,0.154184254788192,0.107879985899038,0.212517158401188,0.179638400210429,0.127509750371445,0.244637130815373,21570484.5168249,14432951.7745443,29808658.2590105
"United States of America","Men",2015,123.560992096554,120.025234352559,127.246603788494,73.6293227138502,71.3132115454199,76.0156418811394,0.153083320886504,0.103716887089628,0.218325215579095,0.179534315070663,0.123126407935868,0.251562377895478,21772503.4465879,14087209.030008,30906689.5809087
"United States of America","Women",1975,125.030050479134,121.581065183613,128.500962196529,77.9528132571508,75.6628559781834,80.3533458462765,0.224567852937782,0.159661431557155,0.297824826623479,0.253997432760624,0.186336598568518,0.328479058677234,19918966.7585549,14372228.0347576,26188278.6962568
"United States of America","Women",1976,124.387872483124,121.238488345504,127.514729678765,77.5905913458071,75.5533356779973,79.7391366484537,0.21843282133988,0.159011496037378,0.284061600142645,0.24717893506342,0.185186951300402,0.31406350710611,19772795.0995451,14565251.8126758,25577548.39304
"United States of America","Women",1977,123.745719703802,120.930761202127,126.565021018436,77.2248636065485,75.381016727445,79.1212425867677,0.212369269433778,0.157694538453152,0.27137332220555,0.240494230680882,0.183271151833345,0.300947741511562,19641599.7395502,14748432.1966228,25025853.6540433
"United States of America","Women",1978,123.110318867676,120.556524090725,125.674994315466,76.8579213207686,75.171797142206,78.5429301435497,0.206428414437461,0.156381347938057,0.259771635279326,0.234020477361549,0.181656765837586,0.289355369214623,19516001.1352158,14930787.8250256,24559745.059781
"United States of America","Women",1979,122.484467085317,120.173334154271,124.84284857395,76.4903754441138,74.914435350461,78.0337632885951,0.200601247073463,0.154701104599078,0.249761450249739,0.227772293215684,0.180075917320696,0.27779073990767,19378205.4382688,15040496.0917152,24125384.4047053
"United States of America","Women",1980,121.876989952532,119.758739258887,124.0757473065,76.1224712326559,74.6403239905749,77.5625452631608,0.195001431799158,0.152224303317298,0.241402214539103,0.221880572758378,0.178011761559424,0.268147181619987,19227674.9315459,15102414.6240251,23719529.9170093
"United States of America","Women",1981,121.293990635262,119.326966571299,123.354878256931,75.7580617031485,74.3735238680454,77.1037689262608,0.189610422955638,0.149844393420423,0.232449577320528,0.216320111395995,0.175776216482138,0.25950293658252,19060956.6264918,15139669.4549531,23336659.6092261
"United States of America","Women",1982,120.734161238843,118.831156099033,122.673606452169,75.3945108960854,74.0759560573719,76.6929719925355,0.184503339754589,0.147558878766123,0.224636874325802,0.211158652509589,0.173342923033933,0.252048666304556,18890417.715025,15135097.7528979,22998821.5825348
